name,dis,freq,fga,fgp,jrsmith1,jrsmith2
Devin Booker,0-4 Feet,0.24468085106382978,96,0.3125,0,0
Devin Booker,4-6 Feet,0.5212765957446808,203,0.35,0,0
Devin Booker,6+ Feet,0.23404255319148934,92,0.391,0,0
Nicolas Batum,0-4 Feet,0.37259615384615385,151,0.31788079470198677,0,0
Nicolas Batum,4-6 Feet,0.34615384615384615,140,0.307,0,0
Nicolas Batum,6+ Feet,0.28125000000000006,114,0.386,0,0
Ersan Ilyasova,0-4 Feet,0.2328159645232816,94,0.2872340425531915,0,0
Ersan Ilyasova,4-6 Feet,0.4456762749445677,179,0.33,0,0
Ersan Ilyasova,6+ Feet,0.3215077605321508,129,0.434,0,0
Jae Crowder,0-4 Feet,0.23722627737226276,93,0.3118279569892473,0,0
Jae Crowder,4-6 Feet,0.41605839416058393,164,0.427,0,0
Jae Crowder,6+ Feet,0.34671532846715325,137,0.423,0,0
Wayne Ellington,0-4 Feet,0.3112676056338028,122,0.3114754098360656,0,0
Wayne Ellington,4-6 Feet,0.44788732394366193,175,0.331,0,0
Wayne Ellington,6+ Feet,0.2408450704225352,94,0.553,0,0
Bojan Bogdanovic,0-4 Feet,0.18358531317494603,71,0.352112676056338,0,0
Bojan Bogdanovic,4-6 Feet,0.46652267818574517,180,0.35,0,0
Bojan Bogdanovic,6+ Feet,0.3498920086393089,135,0.407,0,0
Terrence Ross,0-4 Feet,0.29300567107750475,114,0.2982456140350877,0,0
Terrence Ross,4-6 Feet,0.45746691871455575,178,0.365,0,0
Terrence Ross,6+ Feet,0.2495274102079395,97,0.443,0,0
Kevin Love,0-4 Feet,0.13968957871396898,54,0.24074074074074073,0,0
Kevin Love,4-6 Feet,0.4035476718403548,157,0.35,0,0
Kevin Love,6+ Feet,0.4567627494456763,178,0.433,0,0
Brook Lopez,0-4 Feet,0.05120481927710843,19,0.21052631578947367,0,0
Brook Lopez,4-6 Feet,0.2590361445783132,100,0.41,0,0
Brook Lopez,6+ Feet,0.6897590361445783,267,0.333,0,0
Kawhi Leonard,0-4 Feet,0.18581081081081083,71,0.2535211267605634,0,0
Kawhi Leonard,4-6 Feet,0.5878378378378378,224,0.393,0,0
Kawhi Leonard,6+ Feet,0.22635135135135137,87,0.448,0,0
D'Angelo Russell,0-4 Feet,0.23702031602708806,91,0.3516483516483517,0,0
D'Angelo Russell,4-6 Feet,0.41083521444695265,158,0.323,0,0
D'Angelo Russell,6+ Feet,0.3521444695259594,135,0.385,0,0
Buddy Hield,0-4 Feet,0.08870967741935484,33,0.12121212121212122,0,0
Buddy Hield,4-6 Feet,0.5080645161290323,193,0.43,0,0
Buddy Hield,6+ Feet,0.40322580645161293,153,0.399,0,0
Nikola Mirotic,0-4 Feet,0.12251655629139074,46,0.32608695652173914,0,0
Nikola Mirotic,4-6 Feet,0.49834437086092714,188,0.314,0,0
Nikola Mirotic,6+ Feet,0.37913907284768217,143,0.385,0,0
Gordon Hayward,0-4 Feet,0.17901234567901234,67,0.31343283582089554,0,0
Gordon Hayward,4-6 Feet,0.4876543209876543,182,0.44,0,0
Gordon Hayward,6+ Feet,0.3333333333333333,125,0.384,0,0
DeMarcus Cousins,0-4 Feet,0.12598425196850394,46,0.1956521739130435,0,0
DeMarcus Cousins,4-6 Feet,0.3937007874015748,143,0.385,0,0
DeMarcus Cousins,6+ Feet,0.48031496062992124,174,0.385,0,0
Evan Fournier,0-4 Feet,0.1794871794871795,63,0.3333333333333333,0,0
Evan Fournier,4-6 Feet,0.4538461538461538,160,0.338,0,0
Evan Fournier,6+ Feet,0.36666666666666664,129,0.395,0,0
Kyle Korver,0-4 Feet,0.30758226037195996,110,0.38181818181818183,0,0
Kyle Korver,4-6 Feet,0.36480686695278974,130,0.431,0,0
Kyle Korver,6+ Feet,0.3276108726752504,117,0.547,0,0
Nik Stauskas,0-4 Feet,0.15873015873015878,57,0.22807017543859648,0,0
Nik Stauskas,4-6 Feet,0.3791887125220459,136,0.309,0,0
Nik Stauskas,6+ Feet,0.4620811287477955,166,0.464,0,0
Marcus Morris,0-4 Feet,0.12044817927170869,43,0.20930232558139536,0,0
Marcus Morris,4-6 Feet,0.5182072829131653,185,0.341,0,0
Marcus Morris,6+ Feet,0.3613445378151261,129,0.357,0,0
Jordan Clarkson,0-4 Feet,0.27927927927927926,99,0.2828282828282828,0,0
Jordan Clarkson,4-6 Feet,0.4654654654654654,166,0.295,0,0
Jordan Clarkson,6+ Feet,0.2552552552552553,91,0.44,0,0
Patty Mills,0-4 Feet,0.19439579684763575,69,0.3188405797101449,0,0
Patty Mills,4-6 Feet,0.3800350262697023,135,0.393,0,0
Patty Mills,6+ Feet,0.42556917688266205,151,0.477,0,0
Tony Snell,0-4 Feet,0.14090909090909093,50,0.18,0,0
Tony Snell,4-6 Feet,0.3863636363636364,137,0.401,0,0
Tony Snell,6+ Feet,0.4727272727272728,168,0.476,0,0
Troy Daniels,0-4 Feet,0.3690807799442897,131,0.33587786259541985,0,0
Troy Daniels,4-6 Feet,0.3885793871866296,138,0.399,0,0
Troy Daniels,6+ Feet,0.24233983286908078,86,0.453,0,0
Frank Kaminsky,0-4 Feet,0.042986425339366516,15,0.2,0,0
Frank Kaminsky,4-6 Feet,0.19909502262443438,70,0.3,0,0
Frank Kaminsky,6+ Feet,0.7579185520361992,268,0.343,0,0
Marvin Williams,0-4 Feet,0.07952286282306162,28,0.21428571428571427,0,0
Marvin Williams,4-6 Feet,0.40755467196819084,144,0.34,0,0
Marvin Williams,6+ Feet,0.5129224652087475,181,0.381,0,0
JR Smith,0-4 Feet,0.2667542706964521,72,0.3611111111111111,0,0
JR Smith,4-6 Feet,0.3626806833114324,98,0.316,0,0
JR Smith,6+ Feet,0.37056504599211565,100,0.38,0,0
