name,dis,freq,fga,fgp,jrsmith1,jrsmith2
Stephen Curry,0-4 Feet,0.2985611510791366,264,0.38636363636363635,0,0
Stephen Curry,4-6 Feet,0.4622302158273381,409,0.494,0,0
Stephen Curry,6+ Feet,0.23920863309352516,212,0.462,0,0
James Harden,0-4 Feet,0.4334975369458129,284,0.3767605633802817,0,1
James Harden,4-6 Feet,0.4310344827586207,283,0.329,0,1
James Harden,6+ Feet,0.1354679802955665,89,0.404,0,1
Klay Thompson,0-4 Feet,0.25,163,0.39263803680981596,0,0
Klay Thompson,4-6 Feet,0.4551282051282051,294,0.425,0,0
Klay Thompson,6+ Feet,0.29487179487179493,191,0.455,0,0
Damian Lillard,0-4 Feet,0.3204819277108434,196,0.30612244897959184,0,0
Damian Lillard,4-6 Feet,0.4939759036144578,301,0.379,0,0
Damian Lillard,6+ Feet,0.1855421686746988,113,0.487,0,0
Paul George,0-4 Feet,0.3145780051150895,178,0.25280898876404495,0,0
Paul George,4-6 Feet,0.43734015345268545,247,0.413,0,0
Paul George,6+ Feet,0.24808184143222506,140,0.45,0,0
Kyle Lowry,0-4 Feet,0.34868421052631576,187,0.33689839572192515,0,0
Kyle Lowry,4-6 Feet,0.43421052631578955,233,0.386,0,0
Kyle Lowry,6+ Feet,0.21710526315789477,117,0.487,0,0
Wesley Matthews,0-4 Feet,0.16585365853658535,87,0.22988505747126436,0,0
Wesley Matthews,4-6 Feet,0.4016260162601626,211,0.351,0,0
Wesley Matthews,6+ Feet,0.43252032520325207,227,0.419,0,0
JR Smith,0-4 Feet,0.2707641196013289,138,0.3188405797101449,0,0
JR Smith,4-6 Feet,0.38039867109634556,194,0.428,0,0
JR Smith,6+ Feet,0.3488372093023256,178,0.433,0,0
Trevor Ariza,0-4 Feet,0.15490533562822723,77,0.23376623376623376,0,0
Trevor Ariza,4-6 Feet,0.3907056798623064,194,0.366,0,0
Trevor Ariza,6+ Feet,0.45438898450946646,226,0.425,0,0
Kemba Walker,0-4 Feet,0.2997275204359673,146,0.2808219178082192,0,0
Kemba Walker,4-6 Feet,0.47956403269754766,234,0.38,0,0
Kemba Walker,6+ Feet,0.22070844686648503,108,0.481,0,0
Isaiah Canaan,0-4 Feet,0.2405247813411079,120,0.31666666666666665,0,0
Isaiah Canaan,4-6 Feet,0.4635568513119534,230,0.365,0,0
Isaiah Canaan,6+ Feet,0.2959183673469388,147,0.422,0,0
Robert Covington,0-4 Feet,0.31757754800590837,153,0.3464052287581699,0,0
Robert Covington,4-6 Feet,0.48301329394387,233,0.326,0,0
Robert Covington,6+ Feet,0.19940915805022155,96,0.427,0,0
Kevin Durant,0-4 Feet,0.4040114613180516,194,0.36597938144329895,0,1
Kevin Durant,4-6 Feet,0.4040114613180515,194,0.438,0,1
Kevin Durant,6+ Feet,0.19197707736389685,92,0.326,0,1
CJ McCollum,0-4 Feet,0.28096676737160126,132,0.3106060606060606,0,0
CJ McCollum,4-6 Feet,0.43504531722054385,205,0.4,0,0
CJ McCollum,6+ Feet,0.283987915407855,134,0.552,0,0
Kobe Bryant,0-4 Feet,0.47268408551068886,220,0.2818181818181818,0,1
Kobe Bryant,4-6 Feet,0.3942992874109264,184,0.283,0,1
Kobe Bryant,6+ Feet,0.1330166270783848,62,0.306,0,1
