name,dis,freq,fga,fgp,jrsmith1,jrsmith2
Stephen Curry,0-4 Feet,0.27415730337078653,165,0.36363636363636365,0,0
Stephen Curry,4-6 Feet,0.4404494382022472,265,0.434,0,0
Stephen Curry,6+ Feet,0.2853932584269663,171,0.462,0,0
Damian Lillard,0-4 Feet,0.2376470588235294,131,0.3816793893129771,0,0
Damian Lillard,4-6 Feet,0.45647058823529413,252,0.349,0,0
Damian Lillard,6+ Feet,0.3058823529411765,169,0.467,0,0
Klay Thompson,0-4 Feet,0.2434988179669031,127,0.33070866141732286,0,0
Klay Thompson,4-6 Feet,0.42316784869976365,221,0.425,0,0
Klay Thompson,6+ Feet,0.33333333333333337,174,0.448,0,0
Wesley Matthews,0-4 Feet,0.1782178217821782,91,0.3076923076923077,0,0
Wesley Matthews,4-6 Feet,0.39603960396039606,201,0.348,0,0
Wesley Matthews,6+ Feet,0.42574257425742573,217,0.47,0,0
Gerald Green,0-4 Feet,0.25882352941176473,132,0.3484848484848485,0,0
Gerald Green,4-6 Feet,0.3843137254901961,196,0.388,0,0
Gerald Green,6+ Feet,0.3568627450980392,182,0.451,0,0
Kevin Love,0-4 Feet,0.1211267605633803,61,0.29508196721311475,0,0
Kevin Love,4-6 Feet,0.47042253521126765,236,0.343,0,0
Kevin Love,6+ Feet,0.4084507042253521,204,0.436,0,0
Kyle Lowry,0-4 Feet,0.3147751605995718,156,0.3076923076923077,0,0
Kyle Lowry,4-6 Feet,0.4261241970021413,211,0.379,0,0
Kyle Lowry,6+ Feet,0.2591006423982869,128,0.469,0,0
Paul George,0-4 Feet,0.2273972602739726,112,0.3482142857142857,0,0
Paul George,4-6 Feet,0.4438356164383562,218,0.335,0,0
Paul George,6+ Feet,0.3287671232876712,161,0.422,0,0
Randy Foye,0-4 Feet,0.19047619047619047,94,0.2553191489361702,0,0
Randy Foye,4-6 Feet,0.5308641975308641,262,0.389,0,0
Randy Foye,6+ Feet,0.2786596119929453,137,0.453,0,0
Kevin Durant,0-4 Feet,0.4054982817869416,199,0.33668341708542715,0,1
