name,dis,freq,fga,fgp,jrsmith1,jrsmith2
Stephen Curry,0-4 Feet,0.2943632567849687,187,0.40641711229946526,0,0
Stephen Curry,4-6 Feet,0.3862212943632568,245,0.457,0,0
Stephen Curry,6+ Feet,0.31941544885177453,202,0.47,0,0
Damian Lillard,0-4 Feet,0.28672985781990523,164,0.3353658536585366,0,0
Damian Lillard,4-6 Feet,0.4265402843601896,244,0.344,0,0
Damian Lillard,6+ Feet,0.28672985781990523,164,0.348,0,0
James Harden,0-4 Feet,0.36411609498680736,198,0.3434343434343434,0,0
James Harden,4-6 Feet,0.4485488126649076,246,0.382,0,0
James Harden,6+ Feet,0.1873350923482849,103,0.427,0,0
Trevor Ariza,0-4 Feet,0.16857610474631754,92,0.22826086956521738,0,0
Trevor Ariza,4-6 Feet,0.4206219312602292,230,0.322,0,0
Trevor Ariza,6+ Feet,0.41080196399345337,225,0.422,0,0
Klay Thompson,0-4 Feet,0.3333333333333333,179,0.35195530726256985,0,0
Klay Thompson,4-6 Feet,0.40714285714285714,220,0.495,0,0
Klay Thompson,6+ Feet,0.2595238095238095,140,0.471,0,0
JJ Redick,0-4 Feet,0.21311475409836064,97,0.36082474226804123,0,0
JJ Redick,4-6 Feet,0.4221311475409836,192,0.443,0,0
JJ Redick,6+ Feet,0.36475409836065575,166,0.476,0,0
Danny Green,0-4 Feet,0.1851851851851852,84,0.30952380952380953,0,0
Danny Green,4-6 Feet,0.41223832528180354,188,0.367,0,0
Danny Green,6+ Feet,0.4025764895330113,183,0.525,0,0
Kyle Korver,0-4 Feet,0.31951871657754016,143,0.43356643356643354,0,0
Kyle Korver,4-6 Feet,0.39839572192513373,178,0.517,0,0
Kyle Korver,6+ Feet,0.2820855614973262,126,0.532,0,0
Lou Williams,0-4 Feet,0.38461538461538464,172,0.3313953488372093,0,0
Lou Williams,4-6 Feet,0.43451143451143454,194,0.309,0,0
Lou Williams,6+ Feet,0.18087318087318086,81,0.432,0,0
CJ Miles,0-4 Feet,0.30925925925925923,138,0.3695652173913043,1,0
CJ Miles,4-6 Feet,0.39814814814814814,177,0.316,1,0
CJ Miles,6+ Feet,0.29259259259259257,130,0.354,1,0
Robert Covington,0-4 Feet,0.30560271646859083,134,0.3358208955223881,0,0
Robert Covington,4-6 Feet,0.45331069609507635,198,0.364,0,0
Robert Covington,6+ Feet,0.2410865874363327,105,0.448,0,0
Wesley Matthews,0-4 Feet,0.1349072512647555,60,0.31666666666666665,0,0
Wesley Matthews,4-6 Feet,0.46543001686340646,207,0.353,0,0
Wesley Matthews,6+ Feet,0.3996627318718381,178,0.455,0,0
Kentavious Caldwell-Pope,0-4 Feet,0.2105263157894737,94,0.2553191489361702,0,0
Kentavious Caldwell-Pope,4-6 Feet,0.4736842105263158,210,0.348,0,0
Kentavious Caldwell-Pope,6+ Feet,0.3157894736842105,140,0.4,0,0
JR Smith,0-4 Feet,0.2930728241563055,125,0.336,0,0
JR Smith,4-6 Feet,0.4653641207815276,198,0.374,0,0
JR Smith,6+ Feet,0.241563055062167,103,0.456,0,0
Wilson Chandler,0-4 Feet,0.27817745803357313,113,0.3008849557522124,0,0
Wilson Chandler,4-6 Feet,0.4796163069544364,194,0.345,0,0
Wilson Chandler,6+ Feet,0.2422062350119904,98,0.388,0,0
